date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:52:12	247/247	---M--	200	added ('OK')	image/png	etag:%2255003d15-f7%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_flat_75_ffffff_40x100.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:12	319/319	---M--	200	added ('OK')	image/png	etag:%2255003d15-13f%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:13	301/301	---M--	200	added ('OK')	image/png	etag:%2255003d15-12d%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_e6e6e6_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:13	301/301	---M--	200	added ('OK')	image/png	etag:%2255003d15-12d%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_75_dadada_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:13	246/246	---M--	200	added ('OK')	image/png	etag:%2255003d15-f6%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_65_ffffff_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:13	374/374	---M--	200	added ('OK')	image/png	etag:%2255003d15-176%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_55_fbf9ee_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:14	371/371	---M--	200	added ('OK')	image/png	etag:%2255003d15-173%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_glass_95_fef1ec_1x400.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:15	7006/7006	---M--	200	added ('OK')	image/png	etag:%2255003d15-1b5e%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_222222_256x240.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_222222_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:16	7092/7092	---M--	200	added ('OK')	image/png	etag:%2255003d15-1bb4%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_888888_256x240.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_888888_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:17	4599/4599	---M--	200	added ('OK')	image/png	etag:%2255003d15-11f7%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_2e83ff_256x240.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_2e83ff_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:17	7071/7071	---M--	200	added ('OK')	image/png	etag:%2255003d15-1b9f%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_454545_256x240.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_454545_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:17	251/251	---M--	200	added ('OK')	image/png	etag:%2255003d15-fb%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-bg_flat_0_aaaaaa_40x100.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:18	131197/131197	---M--	200	added ('OK')	image/jpeg	etag:%221a6853-2007d-52fb7c12c9b80%22	http://niisku.lamk.fi/~deckplanner/kuvat/terassi.jpg	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/terassi.jpg	(from http://niisku.lamk.fi/~deckplanner/)
20:52:18	4599/4599	---M--	200	added ('OK')	image/png	etag:%2255003d15-11f7%22	http://code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/code.jquery.com/ui/1.11.4/themes/smoothness/images/ui-icons_cd0a0a_256x240.png	(from http://code.jquery.com/ui/1.11.4/themes/smoothness/jquery-ui.css)
20:52:18	3074/3074	---M--	200	added ('OK')	image/png	etag:%221a1ba3-c02-52fcd9cdbb980%22	http://niisku.lamk.fi/~deckplanner/kuvat/suunta_pysty.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/suunta_pysty.png	(from http://niisku.lamk.fi/~deckplanner/lisatiedostot/boxes.css)
20:52:18	3165/3165	---M--	200	added ('OK')	image/png	etag:%221a1ba4-c5d-52fcd9d468940%22	http://niisku.lamk.fi/~deckplanner/kuvat/suunta_vaaka.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/suunta_vaaka.png	(from http://niisku.lamk.fi/~deckplanner/lisatiedostot/boxes.css)
20:52:19	143674/143674	---M--	200	added ('OK')	image/png	etag:%221a1b8e-2313a-524b897263800%22	http://niisku.lamk.fi/~deckplanner/kuvat/background.png	C:/Users/nohvy/Downloads/kestopuu/kestopuu/niisku.lamk.fi/_deckplanner/kuvat/background.png	(from http://niisku.lamk.fi/~deckplanner/main.css)
